iter	Passed	Remaining
0	147	147189
1	150	75202
2	153	51165
3	156	38994
4	158	31487
5	159	26473
6	161	22893
7	162	20183
8	163	18055
9	165	16397
10	166	15011
11	167	13821
12	168	12816
13	169	11946
14	170	11217
15	171	10554
16	172	9962
17	172	9436
18	173	8966
19	174	8544
20	175	8164
21	176	7837
22	176	7516
23	177	7221
24	178	6948
25	178	6696
26	179	6463
27	179	6247
28	180	6058
29	181	5873
30	182	5697
31	182	5531
32	183	5376
33	184	5230
34	184	5092
35	185	4963
36	186	4847
37	187	4739
38	187	4629
39	188	4525
40	189	4425
41	189	4330
42	190	4239
43	191	4158
44	192	4076
45	192	3996
46	193	3921
47	194	3849
48	194	3781
49	195	3714
50	196	3651
51	197	3595
52	197	3537
53	198	3479
54	199	3424
55	200	3371
56	200	3320
57	201	3270
58	202	3224
59	203	3181
60	204	3142
61	204	3099
62	205	3056
63	206	3015
64	206	2975
65	207	2936
66	208	2899
67	208	2863
68	211	2847
69	211	2812
70	212	2778
71	212	2745
72	213	2713
73	214	2682
74	215	2651
75	215	2622
76	216	2596
77	217	2568
78	218	2543
79	218	2517
80	219	2491
81	220	2465
82	220	2437
83	221	2413
84	222	2393
85	223	2373
86	224	2350
87	225	2334
88	226	2318
89	227	2300
90	228	2284
91	229	2269
92	231	2253
93	232	2236
94	233	2220
95	234	2204
96	234	2186
97	236	2179
98	237	2163
99	238	2147
100	239	2131
101	240	2115
102	241	2100
103	242	2085
104	243	2074
105	244	2059
106	245	2044
107	245	2029
108	246	2015
109	247	2001
110	248	1988
111	249	1976
112	250	1967
113	251	1954
114	252	1942
115	253	1929
116	253	1916
117	254	1904
118	255	1893
119	257	1888
120	258	1879
121	259	1866
122	260	1856
123	261	1845
124	262	1835
125	263	1826
126	264	1815
127	265	1806
128	266	1797
129	267	1787
130	267	1777
131	268	1768
132	270	1762
133	271	1753
134	272	1744
135	273	1735
136	274	1726
137	275	1717
138	275	1708
139	277	1702
140	278	1693
141	278	1683
142	279	1674
143	280	1666
144	281	1658
145	282	1650
146	283	1644
147	284	1637
148	285	1630
149	286	1623
150	287	1617
151	288	1611
152	290	1610
153	291	1603
154	292	1595
155	293	1587
156	294	1580
157	295	1573
158	296	1567
159	298	1564
160	298	1556
161	299	1551
162	300	1544
163	301	1537
164	302	1531
165	303	1524
166	304	1520
167	305	1514
168	306	1508
169	307	1501
170	308	1494
171	309	1487
172	309	1481
173	310	1476
174	311	1469
175	312	1462
176	313	1456
177	313	1449
178	314	1442
179	315	1436
180	316	1431
181	317	1426
182	318	1420
183	318	1414
184	319	1408
185	320	1402
186	321	1396
187	321	1389
188	322	1384
189	323	1380
190	324	1374
191	325	1368
192	326	1363
193	327	1358
194	327	1353
195	328	1347
196	329	1342
197	330	1337
198	331	1332
199	331	1327
200	332	1322
201	333	1317
202	334	1312
203	335	1307
204	336	1303
205	336	1298
206	337	1293
207	338	1289
208	339	1284
209	340	1279
210	340	1274
211	341	1269
212	342	1266
213	343	1261
214	344	1257
215	344	1252
216	345	1247
217	346	1242
218	347	1237
219	347	1232
220	349	1230
221	350	1228
222	351	1225
223	352	1221
224	353	1217
225	354	1213
226	355	1211
227	356	1207
228	357	1203
229	358	1200
230	359	1196
231	360	1192
232	361	1188
233	362	1186
234	363	1182
235	364	1178
236	365	1176
237	366	1173
238	367	1169
239	368	1166
240	369	1163
241	370	1160
242	371	1156
243	372	1152
244	372	1149
245	373	1145
246	374	1142
247	375	1139
248	377	1137
249	377	1133
250	378	1130
251	379	1127
252	380	1123
253	381	1120
254	382	1118
255	383	1115
256	384	1112
257	385	1108
258	386	1105
259	387	1102
260	388	1099
261	389	1097
262	390	1094
263	391	1091
264	392	1089
265	393	1085
266	394	1082
267	395	1080
268	396	1078
269	397	1075
270	398	1072
271	399	1069
272	400	1066
273	401	1064
274	403	1062
275	404	1060
276	405	1057
277	405	1054
278	406	1051
279	407	1048
280	409	1047
281	410	1044
282	411	1042
283	412	1039
284	413	1036
285	414	1033
286	415	1031
287	416	1029
288	417	1026
289	418	1024
290	419	1021
291	420	1018
292	421	1016
293	422	1013
294	423	1011
295	424	1009
296	425	1006
297	426	1003
298	427	1001
299	427	998
300	428	995
301	430	994
302	431	991
303	431	988
304	432	985
305	433	983
306	434	980
307	435	977
308	436	975
309	437	973
310	437	970
311	438	967
312	439	965
313	440	962
314	441	959
315	442	957
316	443	954
317	443	951
318	444	949
319	445	946
320	446	943
321	446	940
322	447	938
323	448	935
324	449	933
325	450	930
326	450	927
327	451	925
328	452	922
329	452	919
330	453	917
331	454	915
332	455	912
333	456	910
334	457	907
335	457	904
336	458	902
337	459	899
338	460	898
339	461	895
340	462	893
341	462	890
342	463	888
343	464	885
344	465	883
345	465	880
346	467	879
347	467	876
348	468	873
349	469	871
350	469	868
351	470	866
352	471	863
353	472	861
354	473	859
355	473	857
356	474	854
357	475	852
358	476	850
359	476	847
360	477	845
361	478	843
362	479	841
363	480	839
364	481	837
365	481	834
366	482	832
367	483	830
368	484	828
369	485	825
370	486	823
371	486	821
372	487	819
373	488	817
374	489	815
375	489	812
376	490	810
377	491	808
378	491	806
379	492	803
380	493	801
381	494	799
382	494	797
383	495	795
384	496	792
385	497	790
386	498	788
387	498	786
388	499	784
389	500	782
390	501	780
391	501	778
392	502	776
393	504	775
394	505	773
395	505	771
396	506	769
397	507	767
398	508	765
399	508	763
400	509	761
401	510	759
402	511	757
403	512	755
404	512	753
405	513	751
406	514	749
407	514	747
408	515	744
409	516	743
410	518	742
411	518	740
412	519	738
413	520	736
414	520	734
415	521	732
416	522	730
417	523	729
418	524	727
419	525	725
420	525	723
421	526	721
422	527	719
423	528	717
424	529	715
425	529	714
426	530	712
427	531	710
428	532	708
429	533	706
430	533	704
431	534	703
432	535	701
433	536	700
434	537	698
435	538	697
436	539	695
437	540	693
438	541	691
439	542	690
440	543	688
441	543	686
442	544	684
443	545	683
444	546	681
445	547	679
446	548	678
447	549	676
448	550	675
449	551	673
450	551	671
451	552	670
452	553	668
453	554	666
454	555	665
455	556	663
456	557	662
457	557	660
458	558	658
459	559	656
460	560	655
461	561	654
462	562	652
463	563	650
464	564	649
465	565	647
466	565	645
467	566	644
468	568	643
469	569	642
470	570	640
471	571	639
472	572	638
473	573	636
474	575	635
475	575	633
476	576	632
477	577	630
478	578	629
479	579	627
480	580	626
481	581	625
482	582	623
483	583	622
484	584	620
485	585	619
486	586	617
487	587	616
488	589	615
489	590	614
490	591	613
491	592	611
492	594	611
493	596	610
494	597	609
495	598	608
496	599	606
497	600	605
498	601	604
499	602	602
500	603	601
501	604	599
502	605	598
503	608	598
504	609	597
505	610	595
506	611	594
507	612	593
508	613	592
509	615	591
510	616	590
511	618	589
512	619	588
513	620	586
514	621	585
515	623	584
516	625	584
517	626	583
518	628	582
519	629	581
520	630	579
521	631	578
522	632	577
523	633	575
524	635	574
525	636	573
526	637	572
527	638	570
528	640	570
529	643	570
530	644	569
531	646	568
532	650	570
533	651	568
534	653	567
535	654	566
536	655	565
537	657	564
538	658	562
539	659	561
540	660	560
541	661	559
542	662	557
543	663	556
544	664	555
545	665	553
546	666	552
547	667	550
548	668	549
549	670	548
550	671	547
551	672	545
552	673	544
553	674	542
554	675	541
555	676	540
556	677	539
557	679	537
558	680	536
559	681	535
560	683	534
561	684	533
562	685	532
563	687	531
564	688	530
565	691	529
566	692	528
567	693	527
568	695	526
569	696	525
570	698	524
571	699	523
572	700	521
573	701	520
574	702	519
575	703	517
576	704	516
577	705	515
578	706	513
579	707	512
580	708	511
581	710	510
582	711	508
583	712	507
584	713	505
585	714	504
586	715	503
587	717	502
588	718	501
589	719	499
590	720	498
591	721	497
592	722	496
593	724	494
594	725	494
595	727	493
596	728	491
597	729	490
598	730	489
599	731	487
600	732	486
601	733	485
602	734	483
603	736	482
604	737	481
605	738	480
606	739	478
607	740	477
608	741	476
609	742	474
610	743	473
611	744	472
612	745	470
613	747	469
614	748	468
615	749	467
616	750	466
617	751	464
618	753	463
619	754	462
620	755	461
621	756	459
622	757	458
623	758	457
624	759	455
625	760	454
626	762	453
627	763	452
628	764	450
629	765	449
630	766	448
631	768	447
632	769	445
633	770	444
634	771	443
635	772	441
636	773	440
637	774	439
638	775	438
639	776	436
640	777	435
641	778	434
642	779	432
643	781	431
644	782	430
645	783	429
646	784	427
647	785	426
648	786	425
649	787	424
650	788	422
651	789	421
652	791	420
653	792	419
654	794	418
655	795	417
656	796	415
657	798	414
658	799	413
659	800	412
660	801	410
661	802	409
662	803	408
663	804	407
664	805	405
665	806	404
666	807	403
667	808	402
668	809	400
669	811	399
670	812	398
671	813	397
672	814	395
673	815	394
674	816	393
675	817	392
676	819	390
677	820	389
678	821	388
679	822	387
680	823	385
681	824	384
682	825	383
683	826	382
684	828	380
685	829	379
686	830	378
687	831	376
688	832	375
689	833	374
690	834	373
691	835	372
692	836	370
693	838	369
694	839	368
695	840	367
696	841	365
697	842	364
698	843	363
699	844	362
700	845	360
701	847	359
702	848	358
703	849	357
704	850	355
705	851	354
706	852	353
707	853	352
708	854	350
709	855	349
710	856	348
711	858	347
712	859	345
713	860	344
714	861	343
715	862	342
716	863	340
717	865	339
718	866	338
719	867	337
720	868	336
721	869	334
722	871	333
723	872	332
724	873	331
725	874	329
726	875	328
727	876	327
728	877	326
729	878	325
730	879	323
731	880	322
732	881	321
733	882	319
734	884	318
735	885	317
736	886	316
737	887	314
738	888	313
739	889	312
740	890	311
741	891	310
742	892	308
743	893	307
744	894	306
745	895	305
746	897	303
747	898	302
748	899	301
749	901	300
750	904	299
751	905	298
752	906	297
753	907	296
754	908	294
755	910	293
756	911	292
757	912	291
758	913	290
759	914	288
760	915	287
761	917	286
762	918	285
763	919	283
764	920	282
765	921	281
766	922	280
767	924	279
768	925	278
769	926	276
770	927	275
771	928	274
772	930	273
773	931	271
774	932	270
775	933	269
776	935	268
777	936	267
778	937	265
779	938	264
780	939	263
781	940	262
782	942	261
783	943	259
784	944	258
785	945	257
786	946	256
787	947	254
788	949	253
789	950	252
790	951	251
791	952	250
792	953	248
793	955	247
794	956	246
795	957	245
796	958	244
797	959	242
798	960	241
799	962	240
800	963	239
801	964	238
802	965	236
803	966	235
804	968	234
805	969	233
806	970	232
807	971	230
808	972	229
809	973	228
810	975	227
811	976	226
812	977	224
813	978	223
814	979	222
815	980	221
816	981	219
817	982	218
818	983	217
819	985	216
820	986	215
821	987	213
822	988	212
823	989	211
824	991	210
825	992	209
826	993	207
827	995	206
828	996	205
829	997	204
830	998	203
831	999	201
832	1001	200
833	1002	199
834	1004	198
835	1005	197
836	1006	195
837	1007	194
838	1008	193
839	1009	192
840	1010	191
841	1011	189
842	1013	188
843	1014	187
844	1015	186
845	1016	185
846	1017	183
847	1018	182
848	1020	181
849	1021	180
850	1022	178
851	1023	177
852	1024	176
853	1025	175
854	1027	174
855	1028	172
856	1029	171
857	1030	170
858	1031	169
859	1033	168
860	1034	166
861	1035	165
862	1036	164
863	1037	163
864	1038	162
865	1039	160
866	1040	159
867	1041	158
868	1043	157
869	1044	156
870	1045	154
871	1046	153
872	1048	152
873	1049	151
874	1050	150
875	1051	148
876	1052	147
877	1053	146
878	1054	145
879	1056	144
880	1057	142
881	1058	141
882	1059	140
883	1060	139
884	1061	137
885	1062	136
886	1064	135
887	1065	134
888	1066	133
889	1067	131
890	1068	130
891	1069	129
892	1071	128
893	1072	127
894	1074	126
895	1075	124
896	1076	123
897	1077	122
898	1078	121
899	1079	119
900	1080	118
901	1082	117
902	1083	116
903	1084	115
904	1085	113
905	1086	112
906	1087	111
907	1088	110
908	1090	109
909	1091	107
